1	Afghanistan
2	Albania
3	Algeria
4	American Samoa
5	Andorra
6	Angola
7	Anguilla
8	Antigua And Barbuda
9	Argentina
10	Armenia
11	Aruba
12	Australia
13	Austria
14	Azerbaijan
15	The Bahamas
16	Bahrain
17	Bangladesh
18	Barbados
19	Belarus
20	Belgium
21	Belize
22	Benin
23	Bermuda
24	Bhutan
25	Bolivia
26	Bosnia And Herzegovina
27	Botswana
28	Brazil
29	Brunei
30	Bulgaria
31	Burkina Faso
32	Burma
33	Burundi
34	Cabo Verde
35	Cambodia
36	Cameroon
37	Canada
38	Cayman Islands
39	Central African Republic
40	Chad
41	Chile
42	China
43	Christmas Island
44	Colombia
45	Comoros
46	Congo (Brazzaville)
47	Congo (Kinshasa)
48	Cook Islands
49	Costa Rica
50	Croatia
51	Cuba
52	Curaçao
53	Cyprus
54	Czechia
55	Ivory Coast
56	Denmark
57	Djibouti
58	Dominica
59	Dominican Republic
60	Ecuador
61	Egypt
62	El Salvador
63	Equatorial Guinea
64	Eritrea
65	Estonia
66	Ethiopia
67	Falkland Islands (Islas Malvinas)
68	Faroe Islands
69	Fiji
70	Finland
71	France
72	French Guiana
73	French Polynesia
74	Gabon
75	The Gambia
76	Georgia
77	Germany
78	Ghana
79	Gibraltar
80	Greece
81	Greenland
82	Grenada
83	Guadeloupe
84	Guam
85	Guatemala
86	Guernsey
87	Guinea
88	Guinea-Bissau
89	Guyana
90	Haiti
91	Honduras
92	Hong Kong
93	Hungary
94	Iceland
95	India
96	Indonesia
97	Iran
98	Iraq
99	Ireland
100	Isle Of Man
101	Israel
102	Italy
103	Jamaica
104	Japan
105	Jersey
106	Jordan
107	Kazakhstan
108	Kenya
109	Kiribati
110	North Korea
111	South Korea
112	Kosovo
113	Kuwait
114	Kyrgyzstan
115	Laos
116	Latvia
117	Lebanon
118	Lesotho
119	Liberia
120	Libya
121	Liechtenstein
122	Lithuania
123	Luxembourg
124	Macau
125	Macedonia
126	Madagascar
127	Malawi
128	Malaysia
129	Maldives
130	Mali
131	Malta
132	Marshall Islands
133	Martinique
134	Mauritania
135	Mauritius
136	Mayotte
137	Mexico
138	Federated States Of Micronesia
139	Moldova
140	Monaco
141	Mongolia
142	Montenegro
143	Montserrat
144	Morocco
145	Mozambique
146	Namibia
147	Nepal
148	Netherlands
149	New Caledonia
150	New Zealand
151	Nicaragua
152	Niger
153	Nigeria
154	Niue
155	Norfolk Island
156	Northern Mariana Islands
157	Norway
158	Oman
159	Pakistan
160	Palau
161	Panama
162	Papua New Guinea
163	Paraguay
164	Peru
165	Philippines
166	Pitcairn Islands
167	Poland
168	Portugal
169	Qatar
170	Reunion
171	Romania
172	Russia
173	Rwanda
174	Saint Barthelemy
175	Saint Helena, Ascension, And Tristan Da Cunha
176	Saint Kitts And Nevis
177	Saint Lucia
178	Saint Martin
179	Saint Pierre And Miquelon
180	Saint Vincent And The Grenadines
181	Samoa
182	San Marino
183	Sao Tome And Principe
184	Saudi Arabia
185	Senegal
186	Serbia
187	Seychelles
188	Sierra Leone
189	Singapore
190	Sint Maarten
191	Slovakia
192	Slovenia
193	Solomon Islands
194	Somalia
195	South Africa
196	South Georgia And South Sandwich Islands
197	South Sudan
198	Spain
199	Sri Lanka
200	Sudan
201	Suriname
202	Svalbard
203	Swaziland
204	Sweden
205	Switzerland
206	Syria
207	Taiwan
208	Tajikistan
209	Tanzania
210	Thailand
211	Timor-Leste
212	Togo
213	Tonga
214	Trinidad And Tobago
215	Tunisia
216	Turkey
217	Turkmenistan
218	Turks And Caicos Islands
219	Tuvalu
220	Uganda
221	Ukraine
222	United Arab Emirates
223	United Kingdom
224	United States
225	Uruguay
226	Uzbekistan
227	Vanuatu
228	Venezuela
229	Vietnam
230	Virgin Islands, British
231	Wallis And Futuna
232	Yemen
233	Zambia
234	Zimbabwe
